cell_id,reaches_eol,T,t1,n_kept,q1,denominator,T_from_record_end,family_params,family_at_bound,rmse_power_law,rmse_two_term_exponential,rmse_rollover,cv_rmse_power_law,cv_rmse_two_term_exponential,cv_rmse_rollover,residual_scale_Ah,residual_mean_over_scale,n_positive,n_negative,fit_positions
NASA_B0005,True,74.0,1,168,1.8519394283960056,0.25193942839600547,False,"[0.9881769415163303, 149.49196727387653, 2.7131644305884075]",[],0.007679168259053688,0.007735509740341963,0.007564812491947885,0.007723899071728381,0.008424775007228604,0.011272697755411084,0.010946367958591443,-3.1322972584667536e-13,1,0,74
NASA_B0006,True,63.0,1,167,2.0290099826055994,0.4290099826055993,False,"[0.9904473704748953, 5.980043389035428, 1.2452611518926762]",[],0.01656198032315258,0.016236207039869974,0.015879255669401536,0.022071212661011898,0.02098772939813102,0.027699329389389137,0.03077307712344967,-5.103808083026874e-09,1,0,63
NASA_B0007,True,85.0,1,168,1.8859121048815188,0.28591210488151875,False,"[0.9974317645884386, 25.78327006587493, 2.069461684927297]",[],0.006219171179701215,0.006501021659417279,0.0053395035289216285,0.011305454346533036,0.013239705881734861,0.007811465199299294,0.011492993703826462,-3.0560863099603365e-10,0,0,85
NASA_B0018,True,60.0,1,132,1.8534402570613984,0.2534402570613983,False,"[1.0330352623343444, 0.7035857419373589, 0.5140186522776776]",[],0.015528466064111263,0.014645747781479762,0.014058686480074679,0.020756085895525092,0.015820195918916702,0.013634250148130578,0.02575918743522849,-2.5235886856575335e-09,1,0,60
NASA_B0026,False,,3,26,1.816222225612228,0.21622222561222793,False,"[1.0230427295755042, 0.13134544277869942, 0.2994643736115981]",[],0.010026318483480854,0.010060106486269278,0.010009536055745356,,,,0.00938116166244065,7.377684675120658e-07,0,0,24
NASA_B0027,False,,1,28,1.818239968977594,0.218239968977594,False,"[0.9964775104656237, 208817.54268272768, 4.531394210086566]",[],0.004444567556594367,0.004580633124079622,0.0043576180383654555,,,,0.006853954915277349,-8.193918240589193e-07,0,0,28
NASA_B0028,False,,1,28,1.805977662571386,0.20597766257138583,False,"[0.9967779370583556, 6.968807970812792, 1.449575767039107]",[],0.0039941429308135625,0.0039399071890882376,0.0038412349653687084,,,,0.002777395369088279,-6.669534294764183e-08,0,0,28
NASA_B0029,False,,1,39,1.8369500418982991,0.23695004189829905,False,"[1.0004826604600379, 3.2011671899056346, 1.015280393638517]",[],0.005182025251002815,0.005152791989358662,0.005121782425192226,,,,0.01035342029641025,-2.3634494887535184e-09,0,0,39
NASA_B0030,True,32.0,6,40,1.7513167844616742,0.15131678446167407,False,"[1.0117992250955168, 2.909282400018557, 0.9881937697000897]",[],0.008042110962386302,0.008035905944255097,0.008024437941824987,0.009456416559625251,0.00910460414938456,0.00979278273685193,0.01424967012657841,-3.606974001838459e-08,0,0,27
NASA_B0032,False,,1,39,1.8906440940050562,0.2906440940050561,False,"[1.0021630977700926, 1.7791894375434318, 0.8070007654110211]",[],0.005962739010510586,0.006133736028583456,0.005834840720906291,,,,0.010630183377588377,-7.592961406895488e-09,0,0,39
NASA_B0036,True,183.0,1,194,1.8051011164587945,0.20510111645879436,False,"[0.9991849104780618, 0.5089000757142433, 0.9289628423806487]",[],0.007161286808966744,0.007087994181070801,0.0069182039037739285,0.010960614253222025,0.009416279075473582,0.008433235333264996,0.011900286571867,-2.890142183035222e-10,2,1,183
NASA_B0040,True,31.0,12,35,1.7338527278063545,0.13385272780635438,False,"[1.0035481194119964, 1728847.7420119068, 4.999999998549612]",['b'],0.006670122443938672,0.007568680864668387,0.006235712286841525,0.012789264198017264,0.013531700053114232,0.01238094444460532,0.0057068531301778715,-4.1187240421256904e-10,1,0,20
NASA_B0043,True,15.0,1,108,1.7100642339880905,0.1100642339880904,False,"[1.018775581064164, 0.8813607828507684, 0.5661136086983332]",[],0.0012063481930304318,0.0014869130395878311,0.0013764762247736387,0.002350103234768102,0.0019683444741459984,0.0017649308833304973,0.0026906760860069974,-1.323892459883045e-09,0,0,15
