cell_id,reaches_eol,T,t1,n_kept,q1,denominator,T_from_record_end,family_params,family_at_bound,rmse_power_law,rmse_two_term_exponential,rmse_rollover,cv_rmse_power_law,cv_rmse_two_term_exponential,cv_rmse_rollover,residual_scale_Ah,residual_mean_over_scale,n_positive,n_negative,fit_positions
HUST_1-1,True,1504,1,1504,1.1740283473193478,0.2940283473193477,True,"[0.9935036380592535, -0.05508177872948324, 0.9629278730347945, 0.1741528865305092, -0.35079813364414675]",[],0.0031110560779734646,0.0022605028631307155,0.0008093494449010704,0.006359757710867245,0.00913981921621947,0.0025914077055968565,0.000830922256103786,9.915822598967599e-11,1,0,1504
HUST_1-2,True,2678,1,2678,1.2053069067599071,0.32530690675990703,False,"[0.9921211474225805, -0.05346709618145411, 1.6942359498539092, 0.23738670329761932, -0.17708571509569487]",[],0.004374327866014931,0.0026230733016414072,0.0013429915963960493,0.010465613198582892,0.010046360172464795,0.009275065323692263,0.0020887007127626087,3.458469927828431e-10,1,0,2678
HUST_1-6,True,1143,1,1143,1.2031721841491843,0.32317218414918414,True,"[0.9893248216324144, -0.12826154494051226, 0.7285437700064794, 0.11773413621147281, -0.39521471437084793]",[],0.004244644705223111,0.0020721737432034815,0.001106858020008766,0.009627987678934831,0.008391324680308896,0.0033352416112600674,0.000968801548381975,1.0680919679360163e-09,0,0,1143
HUST_1-7,True,1678,1,1678,1.1857813594405595,0.3057813594405594,True,"[0.993251538215504, -0.05722154845321791, 1.096513081348666, 0.18191156490738478, -0.3234054567292462]",[],0.003653662858037124,0.002363957474558733,0.0007775025243240545,0.008479640290810725,0.010166609153706832,0.0014455416916014177,0.0008234893293110246,3.922656789046288e-12,1,0,1678
HUST_10-1,True,1702,1,1702,1.174714499300699,0.29471449930069893,True,"[0.994007331751302, -0.053346998337014895, 1.1920264774554419, 0.1958606675344697, -0.3499044177448854]",[],0.003978773218251691,0.002089369305053742,0.0007729923474831308,0.010460286384758679,0.008975519991156245,0.001795257543752763,0.0008256476443682517,1.7917728050034683e-11,1,0,1702
HUST_10-2,True,1697,20,1697,1.1999069484071525,0.3199069484071524,True,"[0.9998893334499639, -0.07564090909039452, 1.5092818448306449, 0.25542808425032315, -0.55865208848922]",[],0.005883014154810816,0.0010850846075094631,0.0007806597919688602,0.015191536227048686,0.0033853785125160644,0.0042590975807606825,0.0008551890253348941,-6.231255291929222e-10,0,0,1678
HUST_10-3,True,1848,1,1848,1.181921724320124,0.301921724320124,False,"[0.9934161508270785, -0.05666911407976227, 1.3153494821188119, 0.21569959749323886, -0.31539536441437066]",[],0.004440798786494005,0.001829632856693215,0.0007005828647455574,0.011472188179928362,0.00919938703883168,0.001922350638994009,0.0004918935094618849,1.632786473943274e-11,1,15,1848
HUST_10-4,True,1811,20,1811,1.1956806434602472,0.31568064346024705,True,"[1.0030521185136483, -0.06470204898644669, 1.3582983740409218, 0.19791613154260135, -0.3856082751906609]",[],0.0054939262807974275,0.0019331199391051748,0.0005670026254703637,0.015322712667045362,0.008884020964394116,0.0008849329605412522,0.0006559066431424108,-1.0223106126256083e-12,4,0,1792
HUST_10-5,True,2030,20,2030,1.1973988891996932,0.31739888919969306,True,"[1.0023741203103937, -0.059485056505406364, 1.5777517049796213, 0.2637154479242287, -0.35678348315190417]",[],0.005291768463918815,0.0015225225783522959,0.0006967070855765456,0.014141580369021078,0.006238409522996029,0.002971627027401548,0.0007933818888095426,3.757592123148863e-15,1,0,2011
HUST_10-7,True,1783,20,1783,1.1974141228179267,0.3174141228179266,True,"[1.002699205402901, -0.0684855575066385, 1.2691483604301084, 0.2165488590608475, -0.34086739685004874]",[],0.004512509578351559,0.001715543479699144,0.0005731231438683116,0.01167486330226758,0.008125670067064985,0.0009680419433813278,0.0005559495538174949,2.4988005948387004e-11,2,2,1764
