dataset,cell_id,a_n_pos,a_n_neg,a_early50,a_long,a_amp_abs_mAh_median,a_dur_median,b_n_pos,b_n_neg,b_early50,b_long,b_amp_abs_mAh_median,b_dur_median,c_n_pos,c_n_neg,c_early50,c_long,c_amp_abs_mAh_median,c_dur_median,reaches_eol,a_recall,a_amp_ratio_median,a_extra,b_recall,b_amp_ratio_median,b_extra,c_recall,c_amp_ratio_median,c_extra
HUST,HUST_3-1,2,1,1,2,4.053664576367131,14.0,0,0,0,0,,,0,0,0,0,,,True,1.0,0.8984166903947942,0.0,1.0,0.9258143624343911,0.0,1.0,0.9258143624343911,0.0
HUST,HUST_3-2,2,1,2,2,5.120926687006257,12.0,1,0,1,1,4.576780695498492,60.0,0,0,0,0,,,True,1.0,0.9828253559721435,0.0,0.8,0.9862570927804379,0.0,0.8,0.9862570927804379,0.0
HUST,HUST_3-3,3,1,1,2,2.939159072459449,10.0,4,0,1,0,2.5264567354664447,5.0,4,0,1,0,2.5264567354664447,5.0,True,1.0,0.9082684113915515,0.0,0.8,0.9566635927162557,0.0,0.8,0.9566635927162557,0.0
HUST,HUST_3-4,2,1,2,2,3.871023902835013,13.0,2,1,2,2,3.871023902835013,13.0,1,0,1,0,2.8203843659617265,4.0,True,1.0,1.0871960637985443,0.0,1.0,1.0871960637985443,0.0,1.0,1.0871960637985443,0.0
HUST,HUST_3-5,3,0,1,1,4.52214148296068,2.0,3,0,1,1,4.52214148296068,2.0,2,0,0,0,4.4696993642983704,2.0,True,1.0,1.0362301855066547,0.0,1.0,1.0362301855066547,0.0,1.0,1.0362301855066547,0.0
HUST,HUST_3-6,2,1,1,2,5.0544752504231525,13.0,2,0,0,1,3.598037062494946,29.0,1,0,0,0,2.6812228883533304,3.0,True,1.0,1.045609285756636,0.0,1.0,1.0420057486154979,0.0,1.0,1.0420057486154979,0.0
HUST,HUST_3-7,1,0,1,1,7.155504328760796,12.0,1,0,1,1,7.155504328760796,12.0,0,0,0,0,,,True,1.0,0.9613428526763105,1.0,1.0,0.9613428526763105,1.0,1.0,0.9613428526763105,2.0
NASA_PCoE,NASA_B0005,1,0,1,0,35.174640275135765,2.0,1,0,1,0,35.174640275135765,2.0,1,0,1,0,35.174640275135765,2.0,True,,,,,,,,,
NASA_PCoE,NASA_B0006,1,0,1,0,79.35754678846774,2.0,1,0,1,0,79.35754678846774,2.0,1,0,1,0,79.35754678846774,2.0,True,,,,,,,,,
NASA_PCoE,NASA_B0007,1,0,1,0,28.47684206063659,2.0,1,0,1,0,28.47684206063659,2.0,1,0,1,0,28.47684206063659,2.0,True,0.6,1.0843837393433005,-1.0,0.6,1.0843837393433005,-1.0,0.6,1.0843837393433005,-1.0
NASA_PCoE,NASA_B0018,1,0,1,0,83.73723935572359,3.0,1,0,1,0,83.73723935572359,3.0,1,0,1,0,83.73723935572359,3.0,True,,,,,,,,,
NASA_PCoE,NASA_B0030,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,True,,,,,,,,,
NASA_PCoE,NASA_B0033,5,2,1,1,143.37207834256355,4.0,1,1,0,1,653.7893352808326,11.0,0,1,0,0,1059.0285390518613,9.0,False,0.8,1.1254953069272153,-3.0,0.6,1.2259816533070684,-1.0,0.6,1.2259816533070684,0.0
NASA_PCoE,NASA_B0034,3,0,1,0,139.12769825078692,2.0,3,0,1,0,139.12769825078692,2.0,3,0,1,0,139.12769825078692,2.0,False,1.0,0.9785525203335278,-2.0,1.0,0.9785525203335278,-2.0,1.0,0.9785525203335278,-2.0
NASA_PCoE,NASA_B0036,2,1,0,0,35.56221543419087,2.0,2,1,0,0,35.56221543419087,2.0,2,1,0,0,35.56221543419087,2.0,True,1.0,0.7720870737326446,-2.0,1.0,0.7720870737326446,-2.0,1.0,0.7720870737326446,-2.0
NASA_PCoE,NASA_B0038,0,0,0,0,,,1,0,1,0,64.07014378392292,3.0,1,0,1,0,64.07014378392292,3.0,True,,,,,,,,,
NASA_PCoE,NASA_B0041,0,0,0,0,,,1,0,1,0,650.9952153156663,2.0,1,0,1,0,650.9952153156663,2.0,False,,,,,,,,,
NASA_PCoE,NASA_B0042,1,0,1,0,24.728071950321276,3.0,1,0,1,0,24.728071950321276,3.0,1,0,1,0,24.728071950321276,3.0,True,,,,,,,,,
NASA_PCoE,NASA_B0043,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,True,,,,,,,,,
NASA_PCoE,NASA_B0044,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,False,0.2,0.828679902115434,0.0,0.0,,0.0,0.0,,0.0
NASA_PCoE,NASA_B0045,1,0,1,0,38.71594713140067,2.0,1,0,1,0,38.71594713140067,2.0,1,0,1,0,38.71594713140067,2.0,False,,,,,,,,,
NASA_PCoE,NASA_B0046,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,False,,,,,,,,,
NASA_PCoE,NASA_B0047,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,False,,,,,,,,,
NASA_PCoE,NASA_B0048,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,False,,,,,,,,,
NASA_PCoE,NASA_B0053,1,0,1,0,85.31896052997675,2.0,1,0,1,0,85.37999032651616,2.0,1,0,1,0,85.37999032651616,2.0,False,,,,,,,,,
NASA_PCoE,NASA_B0054,1,0,1,0,95.14620332900665,3.0,1,0,1,0,95.14620332900665,3.0,1,0,1,0,95.14620332900665,3.0,False,0.4,1.3685214334646856,-1.0,0.4,1.3685214334646856,-1.0,0.4,1.3685214334646856,-1.0
NASA_PCoE,NASA_B0055,2,0,1,0,113.18831130338475,2.5,3,0,2,0,74.52823857488083,2.0,3,0,2,0,74.52823857488083,2.0,False,0.8,0.9128690777532888,-1.0,0.8,0.9109510931209903,-3.0,0.8,0.9109510931209903,-3.0
NASA_PCoE,NASA_B0056,1,0,0,0,132.0070097826131,2.0,1,0,0,0,132.0070097826131,2.0,1,0,0,0,132.0070097826131,2.0,False,1.0,1.0816328740378796,0.0,1.0,1.0816328740378796,0.0,1.0,1.0816328740378796,0.0
